Metric,Value
config_name,high_miss_20pct_trust
run_id,1
total_steps,7000
recorded_steps,5000
wall_time_seconds,376.0625536441803
avg_cav_amota,0.9939540362742558
avg_cis_amota,0.9903420195646201
avg_global_amota,0.48086946763750815
cav_total_mse_violations_gt,57814
cav_total_mse_violations_sensor,57803
cav_total_ttc_violations_gt,17947
cav_total_ttc_violations_sensor,15895
cav_true_positives_mse,57788
cav_false_positives_mse,15
cav_false_negatives_mse,26
cav_true_positives_ttc,14172
cav_false_positives_ttc,1723
cav_false_negatives_ttc,3775
cav_amota,21285.525686813187
cav_total_mse_violations_gt_av,4029
cav_total_mse_violations_gt_non_av,53785
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,57803
cav_total_ttc_violations_gt_av,1062
cav_total_ttc_violations_gt_non_av,16885
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,15895
cis_total_mse_violations_gt,25128
cis_total_mse_violations_sensor,25119
cis_total_ttc_violations_gt,1833
cis_total_ttc_violations_sensor,1835
cis_true_positives_mse,25108
cis_false_positives_mse,11
cis_false_negatives_mse,20
cis_true_positives_ttc,1800
cis_false_positives_ttc,35
cis_false_negatives_ttc,33
cis_amota,4942.797019647019
cis_total_mse_violations_gt_av,2527
cis_total_mse_violations_gt_non_av,22601
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,25119
cis_total_ttc_violations_gt_av,157
cis_total_ttc_violations_gt_non_av,1676
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,1835
global_total_mse_violations_gt,636419
global_total_mse_violations_sensor,768484
global_total_ttc_violations_gt,243678
global_total_ttc_violations_sensor,301464
global_true_positives_mse,618524
global_false_positives_mse,149960
global_false_negatives_mse,17895
global_true_positives_ttc,223912
global_false_positives_ttc,77552
global_false_negatives_ttc,19766
global_amota,2356.7412608914274
global_total_mse_violations_gt_av,46161
global_total_mse_violations_gt_non_av,590258
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,768484
global_total_ttc_violations_gt_av,19283
global_total_ttc_violations_gt_non_av,224395
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,301464
