Metric,Value
config_name,lag_3steps_trust
run_id,1
total_steps,7000
recorded_steps,5000
wall_time_seconds,356.2777986526489
avg_cav_amota,0.9932701124772186
avg_cis_amota,0.9898988223747542
avg_global_amota,0.43913545062227655
cav_total_mse_violations_gt,46714
cav_total_mse_violations_sensor,46696
cav_total_ttc_violations_gt,13487
cav_total_ttc_violations_sensor,12036
cav_true_positives_mse,46686
cav_false_positives_mse,10
cav_false_negatives_mse,28
cav_true_positives_ttc,10267
cav_false_positives_ttc,1769
cav_false_negatives_ttc,3220
cav_amota,17274.953796203787
cav_total_mse_violations_gt_av,3191
cav_total_mse_violations_gt_non_av,43523
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,46696
cav_total_ttc_violations_gt_av,774
cav_total_ttc_violations_gt_non_av,12713
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,12036
cis_total_mse_violations_gt,25867
cis_total_mse_violations_sensor,25854
cis_total_ttc_violations_gt,1861
cis_total_ttc_violations_sensor,1863
cis_true_positives_mse,25839
cis_false_positives_mse,15
cis_false_negatives_mse,28
cis_true_positives_ttc,1829
cis_false_positives_ttc,34
cis_false_negatives_ttc,32
cis_amota,4935.635528360524
cis_total_mse_violations_gt_av,2167
cis_total_mse_violations_gt_non_av,23700
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,25854
cis_total_ttc_violations_gt_av,154
cis_total_ttc_violations_gt_non_av,1707
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,1863
global_total_mse_violations_gt,385521
global_total_mse_violations_sensor,467145
global_total_ttc_violations_gt,147088
global_total_ttc_violations_sensor,182331
global_true_positives_mse,373934
global_false_positives_mse,93211
global_false_negatives_mse,11587
global_true_positives_ttc,133804
global_false_positives_ttc,48527
global_false_negatives_ttc,13284
global_amota,2152.2028434997774
global_total_mse_violations_gt_av,28172
global_total_mse_violations_gt_non_av,357349
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,467145
global_total_ttc_violations_gt_av,10648
global_total_ttc_violations_gt_non_av,136440
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,182331
