Metric,Value
config_name,lag_7steps_notrust
run_id,6
total_steps,7000
recorded_steps,5000
wall_time_seconds,483.4864046573639
avg_cav_amota,0.9940740710670037
avg_cis_amota,0.9912451559215733
avg_global_amota,0.48340361023791134
cav_total_mse_violations_gt,74216
cav_total_mse_violations_sensor,74221
cav_total_ttc_violations_gt,24630
cav_total_ttc_violations_sensor,21454
cav_true_positives_mse,74195
cav_false_positives_mse,26
cav_false_negatives_mse,21
cav_true_positives_ttc,19085
cav_false_positives_ttc,2369
cav_false_negatives_ttc,5545
cav_amota,28774.46806110549
cav_total_mse_violations_gt_av,9743
cav_total_mse_violations_gt_non_av,64473
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,74221
cav_total_ttc_violations_gt_av,3870
cav_total_ttc_violations_gt_non_av,20760
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,21454
cis_total_mse_violations_gt,25055
cis_total_mse_violations_sensor,25051
cis_total_ttc_violations_gt,1812
cis_total_ttc_violations_sensor,1817
cis_true_positives_mse,25036
cis_false_positives_mse,15
cis_false_negatives_mse,19
cis_true_positives_ttc,1786
cis_false_positives_ttc,31
cis_false_negatives_ttc,26
cis_amota,4947.304573204572
cis_total_mse_violations_gt_av,2924
cis_total_mse_violations_gt_non_av,22131
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,25051
cis_total_ttc_violations_gt_av,146
cis_total_ttc_violations_gt_non_av,1666
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,1817
global_total_mse_violations_gt,967595
global_total_mse_violations_sensor,1153149
global_total_ttc_violations_gt,383262
global_total_ttc_violations_sensor,466953
global_true_positives_mse,945292
global_false_positives_mse,207857
global_false_negatives_mse,22303
global_true_positives_ttc,353214
global_false_positives_ttc,113739
global_false_negatives_ttc,30048
global_amota,2375.9287443193343
global_total_mse_violations_gt_av,133800
global_total_mse_violations_gt_non_av,833795
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,1153149
global_total_ttc_violations_gt_av,61657
global_total_ttc_violations_gt_non_av,321605
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,466953
