Metric,Value
config_name,localization_20pct_trust
run_id,4
total_steps,7000
recorded_steps,5000
wall_time_seconds,439.5360457897186
avg_cav_amota,0.9941560002552531
avg_cis_amota,0.9916645662286945
avg_global_amota,0.44227101913650857
cav_total_mse_violations_gt,60689
cav_total_mse_violations_sensor,60692
cav_total_ttc_violations_gt,20920
cav_total_ttc_violations_sensor,17393
cav_true_positives_mse,60671
cav_false_positives_mse,21
cav_false_negatives_mse,18
cav_true_positives_ttc,15255
cav_false_positives_ttc,2138
cav_false_negatives_ttc,5665
cav_amota,25060.68445443442
cav_total_mse_violations_gt_av,5461
cav_total_mse_violations_gt_non_av,55228
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,60692
cav_total_ttc_violations_gt_av,2314
cav_total_ttc_violations_gt_non_av,18606
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,17393
cis_total_mse_violations_gt,25892
cis_total_mse_violations_sensor,25887
cis_total_ttc_violations_gt,1837
cis_total_ttc_violations_sensor,1839
cis_true_positives_mse,25873
cis_false_positives_mse,14
cis_false_negatives_mse,19
cis_true_positives_ttc,1800
cis_false_positives_ttc,39
cis_false_negatives_ttc,37
cis_amota,4948.406185481185
cis_total_mse_violations_gt_av,2501
cis_total_mse_violations_gt_non_av,23391
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,25887
cis_total_ttc_violations_gt_av,206
cis_total_ttc_violations_gt_non_av,1631
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,1839
global_total_mse_violations_gt,739547
global_total_mse_violations_sensor,888379
global_total_ttc_violations_gt,295249
global_total_ttc_violations_sensor,369460
global_true_positives_mse,718583
global_false_positives_mse,169796
global_false_negatives_mse,20964
global_true_positives_ttc,274629
global_false_positives_ttc,94831
global_false_negatives_ttc,20620
global_amota,2160.4939284818443
global_total_mse_violations_gt_av,63175
global_total_mse_violations_gt_non_av,676372
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,888379
global_total_ttc_violations_gt_av,26282
global_total_ttc_violations_gt_non_av,268967
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,369460
