Metric,Value
config_name,mal_add_100pct_trust
run_id,3
total_steps,7000
recorded_steps,5000
wall_time_seconds,456.5209004878998
avg_cav_amota,0.99432386813527
avg_cis_amota,0.9898907300341897
avg_global_amota,0.4346939960867705
cav_total_mse_violations_gt,56639
cav_total_mse_violations_sensor,56627
cav_total_ttc_violations_gt,20012
cav_total_ttc_violations_sensor,16355
cav_true_positives_mse,56613
cav_false_positives_mse,14
cav_false_negatives_mse,26
cav_true_positives_ttc,14406
cav_false_positives_ttc,1949
cav_false_negatives_ttc,5606
cav_amota,24270.451297313804
cav_total_mse_violations_gt_av,5093
cav_total_mse_violations_gt_non_av,51546
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,56627
cav_total_ttc_violations_gt_av,2207
cav_total_ttc_violations_gt_non_av,17805
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,16355
cis_total_mse_violations_gt,25262
cis_total_mse_violations_sensor,25259
cis_total_ttc_violations_gt,1755
cis_total_ttc_violations_sensor,1771
cis_true_positives_mse,25244
cis_false_positives_mse,15
cis_false_negatives_mse,18
cis_true_positives_ttc,1728
cis_false_positives_ttc,43
cis_false_negatives_ttc,27
cis_amota,4933.615398490401
cis_total_mse_violations_gt_av,2545
cis_total_mse_violations_gt_non_av,22717
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,25259
cis_total_ttc_violations_gt_av,177
cis_total_ttc_violations_gt_non_av,1578
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,1771
global_total_mse_violations_gt,666877
global_total_mse_violations_sensor,803994
global_total_ttc_violations_gt,246229
global_total_ttc_violations_sensor,307500
global_true_positives_mse,646583
global_false_positives_mse,157411
global_false_negatives_mse,20294
global_true_positives_ttc,225353
global_false_positives_ttc,82147
global_false_negatives_ttc,20876
global_amota,2158.2556905708157
global_total_mse_violations_gt_av,57225
global_total_mse_violations_gt_non_av,609652
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,803994
global_total_ttc_violations_gt_av,20590
global_total_ttc_violations_gt_non_av,225639
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,307500
