Metric,Value
config_name,mal_convoy_90pct_notrust
run_id,9
total_steps,7000
recorded_steps,5000
wall_time_seconds,539.1676573753357
avg_cav_amota,0.9941290636075037
avg_cis_amota,0.9912317169709908
avg_global_amota,0.44389977579627965
cav_total_mse_violations_gt,70031
cav_total_mse_violations_sensor,70022
cav_total_ttc_violations_gt,21961
cav_total_ttc_violations_sensor,18857
cav_true_positives_mse,70001
cav_false_positives_mse,21
cav_false_negatives_mse,30
cav_true_positives_ttc,16188
cav_false_positives_ttc,2669
cav_false_negatives_ttc,5773
cav_amota,29120.028531191
cav_total_mse_violations_gt_av,6578
cav_total_mse_violations_gt_non_av,63453
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,70022
cav_total_ttc_violations_gt_av,1235
cav_total_ttc_violations_gt_non_av,20726
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,18857
cis_total_mse_violations_gt,24969
cis_total_mse_violations_sensor,24965
cis_total_ttc_violations_gt,1844
cis_total_ttc_violations_sensor,1853
cis_true_positives_mse,24953
cis_false_positives_mse,12
cis_false_negatives_mse,16
cis_true_positives_ttc,1811
cis_false_positives_ttc,42
cis_false_negatives_ttc,33
cis_amota,4944.263804251302
cis_total_mse_violations_gt_av,2569
cis_total_mse_violations_gt_non_av,22400
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,24965
cis_total_ttc_violations_gt_av,163
cis_total_ttc_violations_gt_non_av,1681
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,1853
global_total_mse_violations_gt,896478
global_total_mse_violations_sensor,1077662
global_total_ttc_violations_gt,331856
global_total_ttc_violations_sensor,420465
global_true_positives_mse,875895
global_false_positives_mse,201767
global_false_negatives_mse,20583
global_true_positives_ttc,307264
global_false_positives_ttc,113201
global_false_negatives_ttc,24592
global_amota,2211.9525827928614
global_total_mse_violations_gt_av,92747
global_total_mse_violations_gt_non_av,803731
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,1077662
global_total_ttc_violations_gt_av,28761
global_total_ttc_violations_gt_non_av,303095
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,420465
