Metric,Value
config_name,mal_convoy_50pct_trust
run_id,6
total_steps,7000
recorded_steps,5000
wall_time_seconds,409.13187170028687
avg_cav_amota,0.9941279316490432
avg_cis_amota,0.9911036008080086
avg_global_amota,0.4557009725086066
cav_total_mse_violations_gt,57259
cav_total_mse_violations_sensor,57249
cav_total_ttc_violations_gt,17945
cav_total_ttc_violations_sensor,15130
cav_true_positives_mse,57237
cav_false_positives_mse,12
cav_false_negatives_mse,22
cav_true_positives_ttc,13069
cav_false_positives_ttc,2061
cav_false_negatives_ttc,4876
cav_amota,22955.408069708057
cav_total_mse_violations_gt_av,4571
cav_total_mse_violations_gt_non_av,52688
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,57249
cav_total_ttc_violations_gt_av,1572
cav_total_ttc_violations_gt_non_av,16373
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,15130
cis_total_mse_violations_gt,24601
cis_total_mse_violations_sensor,24597
cis_total_ttc_violations_gt,1777
cis_total_ttc_violations_sensor,1782
cis_true_positives_mse,24580
cis_false_positives_mse,17
cis_false_negatives_mse,21
cis_true_positives_ttc,1745
cis_false_positives_ttc,37
cis_false_negatives_ttc,32
cis_amota,4945.606968031963
cis_total_mse_violations_gt_av,2438
cis_total_mse_violations_gt_non_av,22163
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,24597
cis_total_ttc_violations_gt_av,119
cis_total_ttc_violations_gt_non_av,1658
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,1782
global_total_mse_violations_gt,599121
global_total_mse_violations_sensor,731860
global_total_ttc_violations_gt,232346
global_total_ttc_violations_sensor,293977
global_true_positives_mse,583656
global_false_positives_mse,148204
global_false_negatives_mse,15465
global_true_positives_ttc,215590
global_false_positives_ttc,78387
global_false_negatives_ttc,16756
global_amota,2253.8970100275683
global_total_mse_violations_gt_av,46434
global_total_mse_violations_gt_non_av,552687
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,731860
global_total_ttc_violations_gt_av,17943
global_total_ttc_violations_gt_non_av,214403
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,293977
